Paper_No,Molecular_Markers,Paper_ID,Year_sampled,IUCN_Category3,Sampling_size,Latitude,Latitude_Clade,Longitude,He,He_fit
P61_5,ISSR,Chen_et_al,2012,Common,24,47.785,North_temper,132.824,0.183,0.18310837
P61_6,ISSR,Chen_et_al,2012,Common,24,47.902,North_temper,133.028,0.172,0.173789568
P61_7,ISSR,Chen_et_al,2012,Common,18,48.131,North_temper,133.662,0.122,0.06246316
P61_8,ISSR,Chen_et_al,2012,Common,23,48.194,North_temper,134.283,0.172,0.096901927
P63_1,AFLP,Lu_et_al,2012,Common,20,21.519,North_tropical,109.361,0.324,0.209918069
P63_2,AFLP,Lu_et_al,2012,Common,21,37.754,North_temper,119.097,0.28,0.137701886
P63_3,AFLP,Lu_et_al,2012,Common,20,39.214,North_temper,117.885,0.28,0.170337534
P65_1,AFLP,Kwong_et_al,2011,Common,13,-35.014,South_temper,117.895,0.27,0.228766527
P65_2,AFLP,Kwong_et_al,2011,Common,6,-37.814,South_temper,144.976,0.33,0.233324975
P65_3,AFLP,Kwong_et_al,2011,Common,7,-35.968,South_temper,144.939,0.3,0.252109841
P65_4,AFLP,Kwong_et_al,2011,Common,7,-35.857,South_temper,145.007,0.29,0.247556267
P65_5,AFLP,Kwong_et_al,2011,Common,16,-35.883,South_temper,145.003,0.29,0.247924727
P65_6,AFLP,Kwong_et_al,2011,Common,6,-35.955,South_temper,144.951,0.25,0.251823527
P65_7,AFLP,Kwong_et_al,2011,Common,14,-36.106,South_temper,145.362,0.29,0.227864081
P65_8,AFLP,Kwong_et_al,2011,Common,7,-36.049,South_temper,146.188,0.25,0.237239495
P65_9,AFLP,Kwong_et_al,2011,Common,12,-35.555,South_temper,145.03,0.26,0.240311402
P65_10,AFLP,Kwong_et_al,2011,Common,16,-36.355,South_temper,145.402,0.26,0.224956204
P65_11,AFLP,Kwong_et_al,2011,Common,5,-27.483,South_temper,152.903,0.26,0.227123855
P65_12,AFLP,Kwong_et_al,2011,Common,16,-28.71,South_temper,153.487,0.29,0.215733331
P65_13,AFLP,Kwong_et_al,2011,Common,9,-26.479,South_temper,152.956,0.22,0.225962148
P65_14,AFLP,Kwong_et_al,2011,Common,6,-32.407,South_temper,152.2,0.33,0.235487421
P65_15,AFLP,Kwong_et_al,2011,Common,5,-33.244,South_temper,151.49,0.27,0.234351828
P65_16,AFLP,Kwong_et_al,2011,Common,5,-34.74,South_temper,150.686,0.28,0.221549263
P65_17,AFLP,Kwong_et_al,2011,Common,7,-33.585,South_temper,150.723,0.3,0.236929798
P65_18,AFLP,Kwong_et_al,2011,Common,5,-33.792,South_temper,151.151,0.31,0.234599947
P65_19,AFLP,Kwong_et_al,2011,Common,7,-34.205,South_temper,150.573,0.32,0.230165872
P65_20,AFLP,Kwong_et_al,2011,Common,15,-33.318,South_temper,26.522,0.28,0.245513006
P65_21,AFLP,Kwong_et_al,2011,Common,7,-32.737,South_temper,27.298,0.33,0.21066327
P65_22,AFLP,Kwong_et_al,2011,Common,12,-29.836,South_temper,30.871,0.3,0.215071127
P65_23,AFLP,Kwong_et_al,2011,Common,10,-29.601,South_temper,30.409,0.34,0.230824858
P65_24,AFLP,Kwong_et_al,2011,Common,12,-33.685,South_temper,19.984,0.29,0.219982464
P65_25,AFLP,Kwong_et_al,2011,Common,10,-33.963,South_temper,18.926,0.29,0.233690096
P65_26,AFLP,Kwong_et_al,2011,Common,13,-33.7,South_temper,18.982,0.3,0.234288726
P65_27,AFLP,Kwong_et_al,2011,Common,21,32.792,North_temper,-88.029,0.35,0.181077466
