Paper_No,Molecular_Markers,Paper_ID,Year_sampled,IUCN_Category3,Sampling_size,Latitude,Latitude_Clade,Longitude,He,He_fit
P31_2,AFLP,Schierenbeck_&_Phipps,2008,Rare,20,39.9226,North_temper,-123.0553,0.2261,0.158120224
P31_3,AFLP,Schierenbeck_&_Phipps,2008,Rare,8,39.9085,North_temper,-123.0553,0.2829,0.159918024
P31_4,AFLP,Schierenbeck_&_Phipps,2008,Rare,6,39.9374,North_temper,-123.0553,0.1034,0.158120224
P31_5,AFLP,Schierenbeck_&_Phipps,2008,Rare,23,39.8796,North_temper,-122.9995,0.3788,0.163711422
P31_6,AFLP,Schierenbeck_&_Phipps,2008,Rare,12,39.894,North_temper,-122.9995,0.3903,0.163499684
P31_7,AFLP,Schierenbeck_&_Phipps,2008,Rare,3,47.104,North_temper,-122.493,0.2605,0.179990725
P31_8,AFLP,Schierenbeck_&_Phipps,2008,Rare,21,47.6656,North_temper,-113.806,0.372,0.135167824
P31_9,AFLP,Schierenbeck_&_Phipps,2008,Rare,3,46.9127,North_temper,-116.7228,0.069,0.174298328
P32_1,AFLP,Wang_et_al,2016,Common,15,27.975,North_temper,120.761,0.0016,0.19406669
P32_2,AFLP,Wang_et_al,2016,Common,10,28.386,North_temper,119.819,0.0022,0.207804945
P32_3,AFLP,Wang_et_al,2016,Common,15,28.673,North_temper,121.427,0.0012,0.206954215
P32_4,AFLP,Wang_et_al,2016,Common,9,29.559,North_temper,106.628,0.0017,0.194733762
P32_5,AFLP,Wang_et_al,2016,Common,15,29.897,North_temper,121.559,0.001,0.175902546
P32_6,AFLP,Wang_et_al,2016,Common,13,30.313,North_temper,120.39,0.0016,0.16664663
P32_7,AFLP,Wang_et_al,2016,Common,10,30.549,North_temper,114.419,0.0018,0.135365919
P34_1,ISSR,Wang_et_al,2007,Common,29,31.345,North_temper,114.518,0.24,0.208569699
P34_2,ISSR,Wang_et_al,2007,Common,30,30.202,North_temper,114.732,0.22,0.170569279
P34_3,ISSR,Wang_et_al,2007,Common,32,29.237,North_temper,115.892,0.28,0.165772142
P34_4,ISSR,Wang_et_al,2007,Common,35,29.952,North_temper,116.023,0.24,0.195318714
P34_5,ISSR,Wang_et_al,2007,Common,44,31.878,North_temper,117.202,0.23,0.166621873
P34_6,ISSR,Wang_et_al,2007,Common,26,31.115,North_temper,120.918,0.23,0.137890634
P37_1,AFLP,Janiak_et_al,2012,Rare,50,50.937,North_temper,16.499,0.203,0.235427979
P37_2,AFLP,Janiak_et_al,2012,Rare,40,51.452,North_temper,21.952,0.213,0.242493947
P37_3,AFLP,Janiak_et_al,2012,Rare,24,48.51,North_temper,21.976,0.156,0.233198628
P37_4,AFLP,Janiak_et_al,2012,Rare,24,48.5,North_temper,21.965,0.356,0.159520268
P37_5,AFLP,Janiak_et_al,2012,Rare,22,47.615,North_temper,7.122,0.436,0.227466429
P37_6,AFLP,Janiak_et_al,2012,Rare,20,48.392,North_temper,7.862,0.18,0.26662746
P41_1,RAPD,Chen_et_al,2004,Rare,46,24.867,North_temper,112.722,0.1096,0.203115893
P41_2,RAPD,Chen_et_al,2004,Rare,46,25.053,North_temper,113.003,0.1244,0.200282502
P41_3,RAPD,Chen_et_al,2004,Rare,38,25.125,North_temper,98.63,0.1178,0.189625885
P45_1,AFLP,Makuch_et_al,2020,Rare,17,50.833,North_temper,14.155,0.243,0.222061921
P45_2,AFLP,Makuch_et_al,2020,Rare,9,50.832,North_temper,14.202,0.234,0.227221463
P45_3,AFLP,Makuch_et_al,2020,Rare,21,51.404,North_temper,14.908,0.24,0.18845577
P45_4,AFLP,Makuch_et_al,2020,Rare,41,51.342,North_temper,13.67,0.268,0.260851484
P45_5,AFLP,Makuch_et_al,2020,Rare,13,51.345,North_temper,13.724,0.256,0.259003052
P45_6,AFLP,Makuch_et_al,2020,Rare,31,51.338,North_temper,13.746,0.256,0.258396341
P46_1,ISSR,Valsava_et_al,2011,Rare,27,55.76,North_temper,29.204,0.243,0.178829396
P46_2,ISSR,Valsava_et_al,2011,Rare,27,55.692,North_temper,29.651,0.219,0.184631764
P46_3,ISSR,Valsava_et_al,2011,Rare,7,54.429,North_temper,25.917,0.112,0.198023661
P46_4,ISSR,Valsava_et_al,2011,Rare,4,52.296,North_temper,26.299,0.063,0.122334622
P49_1,AFLP,Li_et_al,2019,Common,8,30.135,North_temper,114.385,0.232,0.140291598
P49_2,AFLP,Li_et_al,2019,Common,8,30.193,North_temper,114.383,0.25,0.144670269
P49_3,AFLP,Li_et_al,2019,Common,8,30.106,North_temper,114.469,0.248,0.139119917
P49_4,AFLP,Li_et_al,2019,Common,8,30.189,North_temper,114.466,0.154,0.146167201
P49_5,AFLP,Li_et_al,2019,Common,7,30.258,North_temper,114.586,0.15,0.17190624
P49_6,AFLP,Li_et_al,2019,Common,5,30.274,North_temper,114.596,0.288,0.169697888
P49_7,AFLP,Li_et_al,2019,Common,10,30.235,North_temper,114.628,0.196,0.169974128
P49_8,AFLP,Li_et_al,2019,Common,6,30.277,North_temper,114.556,0.15,0.171444286
P49_9,AFLP,Li_et_al,2019,Common,7,30.168,North_temper,114.608,0.161,0.170631152
P49_10,AFLP,Li_et_al,2019,Common,8,30.125,North_temper,114.608,0.2,0.165189037
P49_11,AFLP,Li_et_al,2019,Common,7,30.15,North_temper,114.563,0.189,0.168374433
P49_12,AFLP,Li_et_al,2019,Common,9,30.206,North_temper,114.567,0.18,0.172631614
P49_13,AFLP,Li_et_al,2019,Common,9,30.253,North_temper,114.398,0.194,0.136427968
P49_14,AFLP,Li_et_al,2019,Common,9,30.313,North_temper,114.588,0.198,0.169668618
P49_15,AFLP,Li_et_al,2019,Common,6,30.278,North_temper,114.507,0.133,0.17172339
P49_16,AFLP,Li_et_al,2019,Common,6,30.275,North_temper,114.465,0.131,0.143968251
P49_17,AFLP,Li_et_al,2019,Common,6,30.228,North_temper,114.467,0.179,0.146711086
P49_18,AFLP,Li_et_al,2019,Common,7,30.252,North_temper,114.437,0.26,0.146306706
